"Distance Threshold","Start Time Threshold","Weekday Choice","Rolling Window Length","Frequency Requirement","% of Total Costs","% of Unique Drivers","% of Total Trips","% of Total Kilometers","% of Total Trip Time","Avg Std of Start Time","Avg Std of End Time","Avg Std of Duration","Avg Std of Peak Time","Avg Std of Price","Avg Std of Distance","Avg Std of No. of Segments","Avg % Trips Taking Modal Route","Avg % of All Trips in Bin"
"30%","2.5 Hours","Across","6 Weeks","2/8",52,99,50,45,45,0.8752,0.8969,0.1128,0.1259,1.7959,1.2475,0.6518,70.71,43.3
"50%","2.5 Hours","Across","6 Weeks","3/8",42,98,39,35,35,0.77,0.787,0.118,0.124,1.81,1.293,0.727,67.7,39.9
"10%","1 Hour","Within","6 Weeks","3/8",20,89,15,16,15,0.308,0.329,0.09,0.09,1.286,0.641,0.595,69.6,35.3
"20%","1 Hour","Within","6 Weeks","3/8",23,91,18,18,17,0.316,0.34,0.1,0.095,1.331,0.885,0.652,68.1,37.6
"30%","1 Hour","Within","6 Weeks","3/8",24,91,19,19,18,0.32,0.346,0.105,0.098,1.354,1.034,0.682,67.4,38.7
"40%","1 Hour","Within","6 Weeks","3/8",25,92,20,19,19,0.322,0.351,0.11,0.1,1.367,1.141,0.701,67,39.2
"50%","1 Hour","Within","6 Weeks","3/8",25,92,20,20,19,0.324,0.353,0.113,0.102,1.379,1.221,0.715,66.7,39.6
"10%","1.5 Hours","Within","6 Weeks","3/8",22,91,17,18,16,0.407,0.423,0.092,0.101,1.55,0.654,0.606,69.5,36.9
"20%","1.5 Hours","Within","6 Weeks","3/8",25,92,20,20,19,0.42,0.438,0.102,0.107,1.581,0.895,0.661,68,39.5
"30%","1.5 Hours","Within","6 Weeks","3/8",27,93,21,21,20,0.426,0.446,0.107,0.11,1.598,1.05,0.691,67.3,40.7
"40%","1.5 Hours","Within","6 Weeks","3/8",28,93,22,22,21,0.43,0.451,0.112,0.112,1.606,1.158,0.71,66.8,41.4
"40%","2.5 Hours","Across","6 Weeks","2/8",53,99,52,46,46,0.8841,0.9064,0.1187,0.129,1.8216,1.4101,0.6731,70.18,44.3
"50%","1.5 Hours","Within","6 Weeks","3/8",28,93,23,22,21,0.433,0.456,0.115,0.113,1.617,1.241,0.725,66.6,41.9
"10%","2 Hours","Within","6 Weeks","3/8",23,91,18,19,17,0.486,0.499,0.093,0.109,1.732,0.657,0.61,69.4,37.8
"20%","2 Hours","Within","6 Weeks","3/8",27,93,21,21,20,0.504,0.519,0.102,0.114,1.758,0.901,0.664,68,40.7
"30%","2 Hours","Within","6 Weeks","3/8",28,93,23,22,21,0.514,0.53,0.108,0.117,1.773,1.058,0.695,67.2,42
"40%","2 Hours","Within","6 Weeks","3/8",29,94,24,23,22,0.52,0.537,0.113,0.119,1.779,1.167,0.714,66.8,42.8
"50%","2 Hours","Within","6 Weeks","3/8",30,94,24,23,23,0.524,0.543,0.116,0.121,1.788,1.252,0.729,66.5,43.2
"10%","2.5 Hours","Within","6 Weeks","3/8",24,92,19,19,18,0.55,0.561,0.094,0.114,1.854,0.66,0.612,69.3,38.4
"20%","2.5 Hours","Within","6 Weeks","3/8",28,93,22,22,21,0.574,0.587,0.103,0.12,1.877,0.906,0.667,67.9,41.4
"30%","2.5 Hours","Within","6 Weeks","3/8",29,94,23,23,22,0.587,0.602,0.109,0.123,1.892,1.065,0.698,67.2,42.8
"40%","2.5 Hours","Within","6 Weeks","3/8",30,94,24,24,23,0.596,0.611,0.113,0.125,1.896,1.173,0.718,66.8,43.6
"20%","1 Hour","Across","6 Weeks","2/8",41,99,38,35,34,0.4452,0.4758,0.0993,0.0898,1.1846,1.0015,0.5948,72.25,36.52
"50%","2.5 Hours","Across","6 Weeks","2/8",54,99,53,47,48,0.8901,0.913,0.1239,0.1316,1.8463,1.5477,0.6918,69.75,45.02
"50%","2.5 Hours","Within","6 Weeks","3/8",30,94,25,24,24,0.602,0.618,0.117,0.127,1.903,1.259,0.732,66.5,44.1
"10%","1 Hour","Across","8 Weeks","3/8",24,91,19,19,18,0.358,0.38,0.096,0.087,1.282,0.69,0.625,69.6,33.5
"20%","1 Hour","Across","8 Weeks","3/8",27,92,22,22,21,0.366,0.391,0.103,0.09,1.293,0.918,0.674,68.4,36.2
"30%","1 Hour","Across","8 Weeks","3/8",29,93,24,23,22,0.371,0.4,0.109,0.093,1.304,1.065,0.703,67.7,37.3
"40%","1 Hour","Across","8 Weeks","3/8",30,93,25,23,23,0.375,0.404,0.113,0.095,1.315,1.172,0.723,67.3,37.9
"50%","1 Hour","Across","8 Weeks","3/8",30,93,26,24,23,0.377,0.408,0.116,0.097,1.324,1.262,0.738,67,38.3
"10%","1.5 Hours","Across","8 Weeks","3/8",27,92,22,22,20,0.489,0.506,0.097,0.099,1.558,0.701,0.632,69.7,35.8
"20%","1.5 Hours","Across","8 Weeks","3/8",31,94,26,25,24,0.505,0.525,0.105,0.103,1.558,0.935,0.682,68.4,38.8
"30%","1.5 Hours","Across","8 Weeks","3/8",33,94,28,26,25,0.514,0.535,0.11,0.105,1.561,1.087,0.711,67.7,40
"40%","1.5 Hours","Across","8 Weeks","3/8",34,94,29,27,26,0.52,0.543,0.115,0.107,1.564,1.2,0.732,67.3,40.7
"10%","1 Hour","Within","6 Weeks","2/8",33,98,29,28,26,0.3929,0.4141,0.0898,0.089,1.218,0.7067,0.5535,73.05,40.84
"50%","1.5 Hours","Across","8 Weeks","3/8",35,95,30,27,27,0.525,0.548,0.118,0.109,1.57,1.291,0.749,67,41.2
"10%","2 Hours","Across","8 Weeks","3/8",29,93,24,24,22,0.604,0.618,0.098,0.108,1.759,0.708,0.636,69.7,37.1
"20%","2 Hours","Across","8 Weeks","3/8",33,94,28,27,26,0.629,0.645,0.106,0.113,1.758,0.947,0.688,68.4,40.3
"30%","2 Hours","Across","8 Weeks","3/8",35,95,30,28,27,0.641,0.659,0.112,0.116,1.758,1.103,0.718,67.6,41.7
"40%","2 Hours","Across","8 Weeks","3/8",36,95,32,29,29,0.65,0.669,0.116,0.118,1.757,1.219,0.739,67.2,42.5
"50%","2 Hours","Across","8 Weeks","3/8",37,95,33,30,29,0.657,0.676,0.12,0.12,1.76,1.309,0.755,66.9,43
"10%","2.5 Hours","Across","8 Weeks","3/8",30,94,25,25,23,0.704,0.716,0.098,0.116,1.904,0.715,0.639,69.6,38.1
"20%","2.5 Hours","Across","8 Weeks","3/8",35,95,30,28,27,0.736,0.75,0.107,0.121,1.901,0.954,0.692,68.3,41.4
"30%","2.5 Hours","Across","8 Weeks","3/8",37,95,32,30,29,0.753,0.768,0.113,0.124,1.899,1.113,0.722,67.6,43
"40%","2.5 Hours","Across","8 Weeks","3/8",38,95,33,31,30,0.765,0.781,0.117,0.126,1.898,1.23,0.744,67.1,43.9
"20%","1 Hour","Within","6 Weeks","2/8",37,98,32,30,30,0.4075,0.4313,0.0991,0.0934,1.2512,0.9571,0.5983,71.92,43.39
"50%","2.5 Hours","Across","8 Weeks","3/8",39,96,35,31,31,0.773,0.789,0.121,0.128,1.898,1.322,0.76,66.8,44.4
"10%","1 Hour","Within","8 Weeks","3/8",16,80,12,13,12,0.308,0.329,0.094,0.094,1.377,0.678,0.629,68.1,38.7
"20%","1 Hour","Within","8 Weeks","3/8",19,83,14,15,14,0.317,0.341,0.104,0.1,1.434,0.933,0.69,66.4,41.1
"30%","1 Hour","Within","8 Weeks","3/8",20,84,16,16,15,0.32,0.346,0.109,0.103,1.459,1.083,0.722,65.7,42.3
"40%","1 Hour","Within","8 Weeks","3/8",21,84,16,16,16,0.323,0.351,0.113,0.106,1.477,1.19,0.742,65.3,42.9
"50%","1 Hour","Within","8 Weeks","3/8",21,85,17,16,16,0.325,0.354,0.117,0.107,1.487,1.273,0.757,65,43.2
"10%","1.5 Hours","Within","8 Weeks","3/8",18,82,14,15,13,0.408,0.423,0.096,0.106,1.694,0.693,0.641,67.8,40.3
"20%","1.5 Hours","Within","8 Weeks","3/8",22,85,16,17,16,0.421,0.439,0.106,0.113,1.739,0.951,0.703,66.2,43.1
"30%","1.5 Hours","Within","8 Weeks","3/8",23,86,18,18,17,0.428,0.447,0.112,0.116,1.755,1.107,0.734,65.5,44.3
"40%","1.5 Hours","Within","8 Weeks","3/8",24,86,18,18,18,0.432,0.453,0.116,0.118,1.767,1.217,0.755,65,45.1
"30%","1 Hour","Within","6 Weeks","2/8",38,99,34,31,31,0.4145,0.4403,0.1053,0.0963,1.2733,1.1221,0.6245,71.31,44.55
"50%","1.5 Hours","Within","8 Weeks","3/8",24,87,19,19,18,0.435,0.457,0.12,0.12,1.775,1.306,0.77,64.7,45.5
"10%","2 Hours","Within","8 Weeks","3/8",19,83,14,15,14,0.488,0.5,0.097,0.115,1.902,0.698,0.646,67.7,41.2
"20%","2 Hours","Within","8 Weeks","3/8",23,86,17,18,17,0.506,0.521,0.107,0.121,1.943,0.959,0.708,66.1,44.2
"30%","2 Hours","Within","8 Weeks","3/8",24,87,19,19,18,0.516,0.532,0.113,0.125,1.956,1.117,0.74,65.4,45.6
"40%","2 Hours","Within","8 Weeks","3/8",25,87,20,19,19,0.522,0.539,0.117,0.127,1.963,1.228,0.76,64.9,46.4
"50%","2 Hours","Within","8 Weeks","3/8",26,88,20,20,19,0.527,0.545,0.121,0.129,1.966,1.316,0.775,64.6,46.9
"10%","2.5 Hours","Within","8 Weeks","3/8",20,84,15,16,14,0.5512,0.5619,0.0979,0.1209,2.0378,0.7013,0.6498,67.61,41.83
"20%","2.5 Hours","Within","8 Weeks","3/8",24,86,18,19,17,0.575,0.588,0.108,0.127,2.073,0.963,0.712,66,45
"30%","2.5 Hours","Within","8 Weeks","3/8",25,87,19,20,19,0.588,0.602,0.114,0.131,2.082,1.122,0.743,65.3,46.4
"40%","2.5 Hours","Within","8 Weeks","3/8",26,88,20,20,19,0.596,0.611,0.118,0.133,2.084,1.233,0.763,64.9,47.3
"40%","1 Hour","Within","6 Weeks","2/8",39,99,35,32,32,0.4189,0.4464,0.1103,0.0986,1.2906,1.2455,0.6435,70.91,45.19
"50%","2.5 Hours","Within","8 Weeks","3/8",27,88,21,21,20,0.603,0.618,0.122,0.135,2.087,1.321,0.779,64.6,47.8
"10%","1 Hour","Across","10 Weeks","3/8",25,92,20,20,19,0.365,0.388,0.095,0.085,1.261,0.689,0.623,69.8,37.3
"20%","1 Hour","Across","10 Weeks","3/8",29,93,24,23,22,0.374,0.401,0.103,0.089,1.271,0.92,0.672,68.6,40.1
"30%","1 Hour","Across","10 Weeks","3/8",30,94,25,24,23,0.379,0.409,0.109,0.092,1.285,1.068,0.702,67.9,41.3
"40%","1 Hour","Across","10 Weeks","3/8",31,94,27,25,24,0.383,0.414,0.113,0.094,1.294,1.178,0.72,67.5,42
"50%","1 Hour","Across","10 Weeks","3/8",32,94,27,25,25,0.385,0.417,0.116,0.096,1.304,1.268,0.736,67.2,42.4
"10%","1.5 Hours","Across","10 Weeks","3/8",28,93,23,23,21,0.503,0.521,0.097,0.098,1.534,0.698,0.629,70,39.9
"20%","1.5 Hours","Across","10 Weeks","3/8",33,95,28,26,25,0.518,0.54,0.105,0.102,1.532,0.935,0.68,68.7,43.1
"30%","1.5 Hours","Across","10 Weeks","3/8",35,95,30,28,27,0.528,0.551,0.11,0.105,1.54,1.09,0.71,68,44.5
"40%","1.5 Hours","Across","10 Weeks","3/8",36,95,31,28,28,0.534,0.559,0.115,0.107,1.547,1.206,0.731,67.5,45.3
"50%","1 Hour","Within","6 Weeks","2/8",39,99,36,32,33,0.4222,0.4514,0.115,0.1006,1.3084,1.3588,0.6587,70.59,45.63
"50%","1.5 Hours","Across","10 Weeks","3/8",36,95,32,29,29,0.538,0.564,0.118,0.109,1.553,1.298,0.747,67.2,45.9
"10%","2 Hours","Across","10 Weeks","3/8",30,94,25,25,23,0.6238,0.6382,0.0976,0.1079,1.7369,0.7067,0.6343,69.96,41.46
"20%","2 Hours","Across","10 Weeks","3/8",35,95,30,28,27,0.647,0.665,0.106,0.112,1.731,0.944,0.686,68.6,45
"30%","2 Hours","Across","10 Weeks","3/8",37,96,32,30,29,0.66,0.679,0.112,0.115,1.733,1.101,0.717,67.9,46.6
"40%","2 Hours","Across","10 Weeks","3/8",38,96,34,31,30,0.67,0.69,0.116,0.117,1.737,1.221,0.737,67.4,47.6
"50%","2 Hours","Across","10 Weeks","3/8",39,96,35,31,31,0.676,0.697,0.12,0.119,1.741,1.314,0.754,67.1,48.2
"10%","2.5 Hours","Across","10 Weeks","3/8",31,94,27,26,24,0.729,0.742,0.098,0.116,1.888,0.717,0.637,69.9,42.5
"20%","2.5 Hours","Across","10 Weeks","3/8",36,96,32,30,29,0.76,0.776,0.107,0.121,1.882,0.957,0.689,68.6,46.3
"30%","2.5 Hours","Across","10 Weeks","3/8",39,96,34,32,31,0.778,0.794,0.113,0.124,1.884,1.116,0.721,67.8,48.1
"40%","2.5 Hours","Across","10 Weeks","3/8",40,96,36,33,32,0.789,0.807,0.117,0.126,1.888,1.237,0.742,67.4,49.2
"10%","1.5 Hours","Within","6 Weeks","2/8",35,99,31,30,28,0.522,0.5393,0.0913,0.1003,1.4513,0.7158,0.5615,72.86,42.83
"50%","2.5 Hours","Across","10 Weeks","3/8",41,96,37,33,33,0.797,0.814,0.121,0.128,1.892,1.332,0.759,67,49.9
