"Distance Threshold","Start Time Threshold","Weekday Choice","Rolling Window Length","Frequency Requirement","% of Total Costs","% of Unique Drivers","% of Total Trips","% of Total Kilometers","% of Total Trip Time","Std of Start Time","Std of End Time","Std of Duration","Std of Peak Time","Std of Price","Std of Distance","Std of No. of Segments","Avg % Trips Taking Modal Route","Avg % of All Trips in Bin"
"20%","2.5 Hours","Across","6 Weeks","2/8",69,99,61,57,55,0.5239,0.5446,0.114,0.1304,1.921,1.2861,0.6804,70.97,48.63
"50%","1.5 Hours","Across","6 Weeks","3/8",64,96,54,50,48,0.3935,0.4189,0.1205,0.1251,1.8045,1.4787,0.7478,67.99,45.3
"10%","2 Hours","Across","6 Weeks","3/8",55,95,45,44,41,0.4081,0.4261,0.0976,0.1202,1.8318,0.8342,0.6221,71.19,39.31
"20%","2 Hours","Across","6 Weeks","3/8",61,96,50,48,45,0.4308,0.4509,0.1075,0.1269,1.915,1.1018,0.6805,69.62,43.18
"30%","2 Hours","Across","6 Weeks","3/8",63,96,53,50,48,0.442,0.4635,0.1139,0.1305,1.9522,1.2763,0.7143,68.77,44.91
"40%","2 Hours","Across","6 Weeks","3/8",65,96,54,50,49,0.45,0.4722,0.1183,0.1329,1.9742,1.396,0.7365,68.22,45.85
"50%","2 Hours","Across","6 Weeks","3/8",65,96,55,51,50,0.4549,0.4779,0.1222,0.1348,1.9928,1.4981,0.7548,67.83,46.49
"10%","2.5 Hours","Across","6 Weeks","3/8",56,95,46,45,41,0.4434,0.4604,0.0983,0.1252,1.9464,0.8394,0.624,71.14,39.74
"20%","2.5 Hours","Across","6 Weeks","3/8",61,96,51,49,46,0.4698,0.4887,0.1083,0.1322,2.032,1.1103,0.683,69.57,43.72
"30%","2.5 Hours","Across","6 Weeks","3/8",64,96,54,50,48,0.4827,0.5029,0.1149,0.136,2.0705,1.2879,0.7174,68.7,45.48
"40%","2.5 Hours","Across","6 Weeks","3/8",65,96,55,51,50,0.4919,0.5129,0.1193,0.1385,2.0928,1.4077,0.7397,68.16,46.46
"30%","2.5 Hours","Across","6 Weeks","2/8",72,99,64,59,58,0.5363,0.559,0.122,0.134,1.961,1.4945,0.7191,70.11,50.58
"50%","2.5 Hours","Across","6 Weeks","3/8",66,97,56,52,51,0.4975,0.5191,0.1233,0.1405,2.1116,1.5108,0.7582,67.76,47.14
